Period,Period1,Type,Revision,Location,Integrated,Values
11-01-24,Nov-24,FTE,V32,Atyrau,All,25.00
11-01-24,Nov-24,FTE,V32,Atyrau,Integrated,0.00
11-01-24,Nov-24,FTE,V32,Atyrau,Non-Integrated,25.00
11-01-24,Nov-24,FTE,V32,Farnborough,All,4.47
11-01-24,Nov-24,FTE,V32,Farnborough,Integrated,0.00
11-01-24,Nov-24,FTE,V32,Farnborough,Non-Integrated,4.47
11-01-24,Nov-24,FTE,V32,New Delhi,All,0.00
11-01-24,Nov-24,FTE,V32,New Delhi,Integrated,0.00
11-01-24,Nov-24,FTE,V32,New Delhi,Non-Integrated,0.00
11-01-24,Nov-24,FTE,V32,Offshore Other,All,0.00
11-01-24,Nov-24,FTE,V32,Offshore Other,Integrated,0.00
11-01-24,Nov-24,FTE,V32,Offshore Other,Non-Integrated,0.00
11-01-24,Nov-24,FTE,V32,Tengiz,All,6.50
11-01-24,Nov-24,FTE,V32,Tengiz,Integrated,1.50
11-01-24,Nov-24,FTE,V32,Tengiz,Non-Integrated,5.00
12-01-24,Dec-24,FTE,V32,Almaty,All,1.00
12-01-24,Dec-24,FTE,V32,Almaty,Integrated,0.00
12-01-24,Dec-24,FTE,V32,Almaty,Non-Integrated,1.00
12-01-24,Dec-24,FTE,V32,Atyrau,All,14.00
12-01-24,Dec-24,FTE,V32,Atyrau,Integrated,0.00
12-01-24,Dec-24,FTE,V32,Atyrau,Non-Integrated,14.00
12-01-24,Dec-24,FTE,V32,Farnborough,All,4.47
12-01-24,Dec-24,FTE,V32,Farnborough,Integrated,0.00
12-01-24,Dec-24,FTE,V32,Farnborough,Non-Integrated,4.47
12-01-24,Dec-24,FTE,V32,New Delhi,All,0.00
12-01-24,Dec-24,FTE,V32,New Delhi,Integrated,0.00
12-01-24,Dec-24,FTE,V32,New Delhi,Non-Integrated,0.00
12-01-24,Dec-24,FTE,V32,Offshore Other,All,0.00
12-01-24,Dec-24,FTE,V32,Offshore Other,Integrated,0.00
12-01-24,Dec-24,FTE,V32,Offshore Other,Non-Integrated,0.00
12-01-24,Dec-24,FTE,V32,Tengiz,All,4.00
12-01-24,Dec-24,FTE,V32,Tengiz,Integrated,1.50
12-01-24,Dec-24,FTE,V32,Tengiz,Non-Integrated,2.50
01-01-25,Jan-25,FTE,V32,Almaty,All,0.00
01-01-25,Jan-25,FTE,V32,Almaty,Integrated,0.00
01-01-25,Jan-25,FTE,V32,Almaty,Non-Integrated,0.00
01-01-25,Jan-25,FTE,V32,Atyrau,All,0.00
01-01-25,Jan-25,FTE,V32,Atyrau,Integrated,0.00
01-01-25,Jan-25,FTE,V32,Atyrau,Non-Integrated,0.00
01-01-25,Jan-25,FTE,V32,Farnborough,All,0.00
01-01-25,Jan-25,FTE,V32,Farnborough,Integrated,0.00
01-01-25,Jan-25,FTE,V32,Farnborough,Non-Integrated,0.00
01-01-25,Jan-25,FTE,V32,New Delhi,All,0.00
